id,pmid,title,journal,year,type,impact,authors,doi,abstract,created_at,updated_at,visible,display_order,photo_url
fa266934-3c89-4835-836f-1ebbc5408d1b,40495866,Taliban's war on educating girls and women must end now: A call for global actions.,Public health challenges,2023,Research Article,Medium Impact,"Qaderi S, Miranda A, Odey G, Musa S, Sy Lim L, et al.",10.1002/puh2.80,"",2025-10-19 00:02:35.568198+00,2025-10-20 00:52:02.125982+00,f,0,
b1aff308-a825-431a-ba0c-c0eaeb694358,38078960,The efficacy of Nile tilapia skin xenograft for treating superficial partial-thickness burn versus the standard of care: a meta-analysis of published trials.,Archives of dermatological research,2023,Research Article,Medium Impact,"Cadri S, Elrosasy A, Al Mawla A, Albakri K, Abdelwahab O, et al.",10.1007/s00403-023-02755-7,"",2025-10-19 00:02:34.952779+00,2025-10-20 00:52:26.989702+00,f,0,
5c67567f-3244-4bd4-8543-cfd1cc3c2ef4,36851114,Bell's Palsy and COVID-19 Vaccines: A Systematic Review and Meta-Analysis.,Vaccines,2023,Research Article,Medium Impact,"Albakri K, Khaity A, Atwan H, Saleh O, Al-Hajali M, et al.",10.3390/vaccines11020236,"Once the COVID-19 pandemic was declared, the world was waiting for the clue that would be able to cut down the progression of the disease. Vaccines play a crucial role in reducing the disease and saving many people worldwide. However, there are several side effects of these vaccines, like pain, fatigue, fever, and neurological defects like Bell's palsy. In this systematic review, we presented evidence about the occurrence of Bell's palsy followed by COVID-19 vaccination.",2025-10-19 00:02:35.930879+00,2025-10-20 00:52:02.487361+00,f,0,
70fc7635-25e5-4a64-929b-81e83c500e39,36816831,A Plea for More Robust Accountability Structures in the Global Strategy on Human Resources for Health: Workforce 2030.,International journal of public health,2023,Research Article,Medium Impact,"Ogunfolaji O, Ghaith H, Djoutsop O, Wafo C, Wafo D, et al.",10.3389/ijph.2023.1605603,"",2025-10-19 00:02:36.04661+00,2025-10-20 00:52:02.620733+00,f,0,
d759b4d7-201c-41ca-a54c-b2cb5e19c034,36378650,Global impact of COVID-19 on surgeons and team members (GlobalCOST): a cross-sectional study.,BMJ open,2022,Research Article,Medium Impact,"Jaffry Z, Raj S, Sallam A, Lyman S, Negida A, et al.",10.1136/bmjopen-2021-059873,To investigate the impact of COVID-19 on the well-being of surgeons and allied health professionals as well as the support provided by their institutions.,2025-10-19 00:02:36.759444+00,2025-10-20 00:52:03.76003+00,f,0,
61fd24ee-5233-4cb6-998b-01efbf1fb31a,36605388,Comprehensive and equitable approaches to the management of neurological conditions in low-and middle-income countries-A call to action.,Brain &amp; spine,2022,Research Article,Medium Impact,"Aukrust C, McNicholas R, Winkler A, Johnson W, Pattisapu J, et al.",10.1016/j.bas.2022.101701,"",2025-10-19 00:02:36.403264+00,2025-10-20 00:52:03.388871+00,f,0,
9f075be1-d690-4fcb-a213-a085c4715844,36506291,Neurosurgical training in the Caribbean.,Brain &amp; spine,2022,Research Article,Medium Impact,"Calderon C, Dos Santos Rubio E, Negida A, Park K",10.1016/j.bas.2022.101691,&#x2022;Neurosurgical training in the Caribbean has not been well-defined in published data.&#x2022;Neurosurgical programs are the framework for the delivery of surgical care.&#x2022;Maldistribution of the neurosurgery workforce is one of the challenges faced.&#x2022;Facilitating partnerships within the Caribbean would enhance regional solidarity.,2025-10-19 00:02:36.521531+00,2025-10-20 00:52:03.508467+00,f,0,
2265a586-c433-42fa-9223-658ded8cb97d,36632242,Do cerebral microbleeds increase the risk of dementia? A systematic review and meta-analysis.,IBRO neuroscience reports,2023,Research Article,Medium Impact,"Hussein A, Shawqi M, Bahbah E, Ragab B, Sunoqrot M, et al.",10.1016/j.ibneur.2022.12.009,"Dementia is a neurological disorder that commonly affects the elderly. Cerebral microbleeds (CMBs) are small, tiny lesions of the cerebral blood vessels and have been suggested as a possible risk factor for dementia. However, data about the association between CMBs and dementia risk are inconsistent and inconclusive. Therefore, we conducted this systematic review and meta-analysis to investigate the association between CMBs and dementia and highlight the possible explanations.",2025-10-19 00:02:36.282993+00,2025-10-20 00:58:31.031482+00,t,0,
cda435db-2aeb-4885-b1d1-ffa601c5567d,36463556,Tranexamic acid for patients with aneurysmal subarachnoid hemorrhage: a systematic review and meta-analysis of 2991 patients.,The International journal of neuroscience,2024,Research Article,Medium Impact,"Ghaith H, Gabra M, Ebada M, Dada O, Al-Shami H, et al.",10.1080/00207454.2022.2148957,We aimed to synthesize evidence from published clinical trials on the efficacy and safety of tranexamic acid (TXA) administration in patients with aneurysmal subarachnoid hemorrhage (aSAH).,2025-10-19 00:02:36.640951+00,2025-10-20 00:52:03.639874+00,f,0,
3c024f0e-4d8c-46bf-9705-0e89068965cd,35871179,"Intravenous thrombolysis before mechanical thrombectomy for acute ischemic stroke due to large vessel occlusion; should we cross that bridge? A systematic review and meta-analysis of 36,123 patients.",Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2022,Research Article,Medium Impact,"Ghaith H, Elfil M, Gabra M, Nawar A, Abd-Alkhaleq M, et al.",10.1007/s10072-022-06283-6,The use of intravenous thrombolysis (IVT) before mechanical thrombectomy (MT) for acute ischemic stroke due to large vessel occlusion (AIS-LVO) is a debatable subject in the field of neuro-interventional surgery. We conducted this systematic review and meta-analysis to synthesize evidence from published studies on the outcomes of IVT&#x2009;+&#x2009;MT compared with MT alone in AIS-LVO patients.,2025-10-19 00:02:37.117056+00,2025-10-20 00:52:04.136888+00,f,0,
